"Proceso","Carpeta","Documento","Ruta","Fecha"
"Servicios","2. Interno/Procedimientos","SER-PRO-01.V05 Proceso Soporte.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-01.V05 Proceso Soporte.pdf","2025-02-26"
"Servicios","2. Interno/Procedimientos","SER-PRO-02.V04 Gestión de Problemas.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-02.V04 Gestión de Problemas.pdf","2025-02-26"
"Servicios","2. Interno/Procedimientos","SER-PRO-03.V08 Procedimiento de  Gestión de Incidentes y solicitudes de servicio.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-03.V08 Procedimiento de  Gestión de Incidentes y solicitudes de servicio.pdf","2025-02-26"
"Servicios","2. Interno/Procedimientos","SER-PRO-04.V03 Proceso Gestión de RMAs.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-04.V03 Proceso Gestión de RMAs.pdf","2025-02-26"
"Servicios","2. Interno/Procedimientos","SER-PRO-07.V06 Procedimiento de control y seguimiento a métricas del servicio.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-07.V06 Procedimiento de control y seguimiento a métricas del servicio.pdf","2024-09-13"
"Servicios","2. Interno/Procedimientos","SER-PRO-08.V04 Procedimiento de gestión de eventos.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-08.V04 Procedimiento de gestión de eventos.pdf","2025-02-26"
"Servicios","2. Interno/Procedimientos","SER-PRO-09.V01 Procesos y Rol del area de servicios.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-09.V01 Procesos y Rol del area de servicios.pdf","2024-09-13"
"Servicios","2. Interno/Procedimientos","SER-PRO-10.V01 Funciones del SDM y seguimiento de los servicios.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-10.V01 Funciones del SDM y seguimiento de los servicios.pdf","2025-02-26"
"Servicios","2. Interno/Procedimientos","SER-PRO-12. V01 Infraestructura de Virtualización.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-12. V01 Infraestructura de Virtualización.pdf","2024-09-17"
"Servicios","2. Interno/Procedimientos","SER-PRO-13. V01  Infraestructura de red LAN y WLAN.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-13. V01  Infraestructura de red LAN y WLAN.pdf","2024-09-17"
"Servicios","2. Interno/Procedimientos","SER-PRO-14. V01 Clientes VPN.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Servicios\2. Interno\Procedimientos\SER-PRO-14. V01 Clientes VPN.pdf","2024-09-17"
